id,name,map_url,business_hour,holiday,postcode,address,tel,mail,url,instagram,settlement
1,KITAMI BASE,"https://www.google.com/maps/place/KITAMI+BASE%EF%BC%88%E3%82%AD%E3%82%BF%E3%83%9F%E3%83%99%E3%83%BC%E3%82%B9%EF%BC%89/@43.8049625,143.8916957,17z/data=!3m1!4b1!4m5!3m4!1s0x5f6d5731f470e305:0x267339676e0e3c61!8m2!3d43.8049625!4d143.8938844",9:00~18:00,土日祝、年末年始（２F専用席および宿泊のご利用は無休）,0900042,北海道北見市北2条西2丁目8番地,,,https://kitamibase.hatarabu-kitami.com/,https://kitamibase.hatarabu-kitami.com/,事前クレジット決済（VISA、Master、JCB、Diners、AMERIKANEXPRESS）※SHARE OFFICEはクレジット決済、口座振り込み
2,北海道立北見体育センター,"https://www.google.co.jp/maps/place/北海道立北見体育センター/@43.8175043,143.8960883,17.28z/data=!3m1!5s0x5f6d56dba117733d:0xd45055ec5732f9e4!4m12!1m6!3m5!1s0x5f6d571eac515ba7:0xb377f7b66be0b6b8!2z5riF5pyIIOacrOW6lw!8m2!3d43.8053106!4d143.8953314!3m4!1s0x0:0x101c4b20b260fd02!8m2!3d43.818433!4d143.8964969?hl=ja",9:00~21:00,月曜日,0900061,北海道北見市東陵町２７,,,http://www.dou-sports.com,,
3,FITNESS24 北見幸町店,"https://www.google.co.jp/maps/place/FITNESS24+北見幸町店/@43.8091484,143.8865846,16.85z/data=!3m1!5s0x5f6d56e3b3e06eb3:0xd719a0e3b41881c9!4m12!1m6!3m5!1s0x5f6d571eac515ba7:0xb377f7b66be0b6b8!2z5riF5pyIIOacrOW6lw!8m2!3d43.8053106!4d143.8953314!3m4!1s0x0:0xeb2c4d48379b2e45!8m2!3d43.8095062!4d143.8850753?hl=ja",0:00~24:00,-,"0900036 ",北海道北見市幸町４丁目１−３１,,,http://www.fitness24.jp/gym/kitamisaiwai/,,
4,清月 本店,"https://www.google.co.jp/maps/place/清月+本店/@43.805327,143.8930973,17z/data=!4m12!1m6!3m5!1s0x5f6d571eac515ba7:0xb377f7b66be0b6b8!2z5riF5pyIIOacrOW6lw!8m2!3d43.8053106!4d143.8953314!3m4!1s0x5f6d571eac515ba7:0xb377f7b66be0b6b8!8m2!3d43.8053106!4d143.8953314?hl=ja",9:30~18:00,-,"0900041 ",北海道北見市北１条西１丁目１０,,,https://www.seigetsu.co.jp/,,
5,北見湯元のつけ乃湯,"https://www.google.co.jp/maps/@43.8042905,143.8916857,17.81z?hl=ja",11:00~23:00,-,0900810,北海道北見市ひかり野３丁目２−４,,,https://notsuke-tai.com/,,
6,アルゴグラフィックス北見カーリングホール,"https://www.google.co.jp/maps/@43.8042905,143.8916857,17.81z?hl=ja",10:00~22:00,火曜日,0900013,北海道北見市柏陽町６０３−１４,,,https://www.kitami-curlinghall.info/,,
7,スターバックスコーヒー 北見KITFRONT店,"https://www.google.co.jp/maps/@43.8042905,143.8916857,17.81z?hl=ja",7:00~22:00,-,0900013,北海道北見市柏陽町５９２−６ 北見KITFRONT,,,https://store.starbucks.co.jp/detail-4083/,,
8,ドルトン,"https://www.google.co.jp/maps/@43.8042905,143.8916857,17.81z?hl=ja",11:00~20:00,-,0900051,北海道北見市高栄東町３丁目１８−６,,,,,
9,Link hair（リンクヘアー）,https://linkhair2013-6-6.com/,10:00~19:00,月曜日,0900037,北海道北見市山下町３丁目２−１８ はるみ A1階,,,https://linkhair2013-6-6.com/,,
10,北見工業大学,"https://www.google.com/maps/place/%E5%8C%97%E8%A6%8B%E5%B7%A5%E6%A5%AD%E5%A4%A7%E5%AD%A6/@43.8222567,143.9054081,15z/data=!4m2!3m1!1s0x0:0x42f0414b63e41ed4?sa=X&ved=2ahUKEwj9xqqL-Kn7AhUTVPUHHV5gAz0Q_BJ6BAhFEAU",24時間,-,0900015,北海道北見市公園町１６５,,,https://www.kitami-it.ac.jp/,,
